date,total_asset,cash,market_value,frozen_cash,daily_return,cum_return,max_drawdown
2025-11-04,481314.0,444198.0,37116.0,1626052.0,-0.0019409020217729944,-0.03737199999999996,-0.03959800000000002
2025-11-05,480747.0,99013.0,381734.0,1971237.0,-0.0011780251561350763,-0.03850600000000004,-0.0407320000000001
2025-11-06,494753.0,99013.0,395740.0,1971237.0,0.02913382714816737,-0.010494000000000003,-0.012720000000000065
2025-11-07,486574.99999999994,99013.0,387561.99999999994,1971237.0,-0.016529460154865228,-0.02685000000000015,-0.029076000000000213
2025-11-10,490147.0,99013.0,391134.0,1971237.0,0.00734110877048777,-0.019706,-0.021932000000000063
2025-11-11,478961.0,99013.0,379948.0,1971237.0,-0.02282172491109813,-0.04207799999999995,-0.04430400000000001
2025-11-12,468057.0,99013.0,369044.0,1971237.0,-0.022765945452761338,-0.063886,-0.06611200000000006
2025-11-13,473791.0,99013.0,374778.0,1971237.0,0.012250644686437662,-0.052417999999999965,-0.054644000000000026
2025-11-14,468339.0,99013.0,369326.0,1971237.0,-0.011507183547175837,-0.06332199999999999,-0.06554800000000005
2025-11-17,463169.0,99013.0,364156.0,1971237.0,-0.01103901233935245,-0.073662,-0.07588800000000007
2025-11-18,465424.99999999994,99013.0,366411.99999999994,1971237.0,0.004870792302593463,-0.06915000000000016,-0.07137600000000022
2025-11-19,463921.0,95131.0,368790.0,1975119.0,-0.003231455121662896,-0.07215800000000006,-0.07438400000000012
2025-11-20,463065.99999999994,95131.0,367934.99999999994,1975119.0,-0.001842986198081209,-0.07386800000000016,-0.07609400000000022
2025-11-21,452521.0,95131.0,357390.0,1975119.0,-0.022772131834338794,-0.09495799999999999,-0.09718400000000005
2025-11-24,457936.0,95131.0,362805.0,1975119.0,0.011966295486839362,-0.08412799999999998,-0.08635400000000004
2025-11-25,469336.0,87253.0,382083.0,1982997.0,0.02489430837496953,-0.06132800000000005,-0.06355400000000011
2025-11-26,479908.99999999994,87253.0,392655.99999999994,1982997.0,0.022527570866074598,-0.04018200000000016,-0.04240800000000022
2025-11-27,492713.0,87253.0,405460.0,1982997.0,0.026680058094347148,-0.014573999999999976,-0.016800000000000037
2025-11-28,490676.00000000006,87253.0,403423.00000000006,1982997.0,-0.0041342525973536715,-0.018647999999999887,-0.020873999999999948
2025-12-01,531028.0,87253.0,443775.0,1982997.0,0.08223756613325284,0.06205599999999989,0.0
2025-12-02,523365.0,87253.0,436112.0,1982997.0,-0.0144305008398804,0.04672999999999994,-0.01532599999999995
2025-12-03,502316.0,502316.0,0.0,1982997.0,-0.040218585499603554,0.0046319999999999695,-0.05742399999999992
2025-12-04,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-05,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-08,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-09,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-10,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-11,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-12,502316.0,502316.0,0.0,1982997.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-15,502316.0,462276.0,40040.0,2023037.0,0.0,0.0046319999999999695,-0.05742399999999992
2025-12-16,501161.0,462276.0,38885.0,2023037.0,-0.002299349413516616,0.0023219999999999352,-0.059733999999999954
2025-12-17,502448.0,462276.0,40172.0,2023037.0,0.0025680370180440892,0.0048960000000000115,-0.05715999999999988
2025-12-18,501975.0,101375.99999999994,400599.00000000006,2383937.0,-0.0009413909499091933,0.003949999999999898,-0.05810599999999999
2025-12-19,507525.0,101375.99999999994,406149.00000000006,2383937.0,0.011056327506349994,0.015050000000000008,-0.04700599999999988
2025-12-22,511298.99999999994,101375.99999999994,409923.0,2383937.0,0.007436086892271154,0.022597999999999896,-0.03945799999999999
2025-12-23,509300.99999999994,101375.99999999994,407925.0,2383937.0,-0.003907693932513112,0.018601999999999785,-0.043454000000000104
2025-12-24,521177.99999999994,101375.99999999994,419802.0,2383937.0,0.023320197682706212,0.04235599999999984,-0.01970000000000005
2025-12-25,519401.9999999999,101375.99999999994,418025.99999999994,2383937.0,-0.003407664943646971,0.03880399999999984,-0.02325200000000005
2025-12-26,517071.0,101375.99999999994,415695.00000000006,2383937.0,-0.004487853339032011,0.034141999999999895,-0.027913999999999994
2025-12-29,512519.99999999994,101375.99999999994,411144.0,2383937.0,-0.008801499213841102,0.02503999999999995,-0.03701599999999994
2025-12-30,510188.99999999994,101375.99999999994,408813.0,2383937.0,-0.004548115195504576,0.020377999999999785,-0.041678000000000104
2025-12-31,516404.99999999994,101375.99999999994,415029.0,2383937.0,0.01218372015076774,0.032809999999999784,-0.029246000000000105
2026-01-05,520955.9999999999,101375.99999999994,419579.99999999994,2383937.0,0.008812850379062764,0.04191199999999973,-0.020144000000000162
2026-01-06,532167.0,97494.99999999994,434672.0,2387818.0,0.021520051597448075,0.06433399999999989,0.0
2026-01-07,528247.0,97494.99999999994,430752.0,2387818.0,-0.007366108759092493,0.056494000000000044,-0.007839999999999847
2026-01-08,540119.0,97494.99999999994,442624.00000000006,2387818.0,0.022474334922867545,0.08023800000000003,0.0
2026-01-09,542695.0,97494.99999999994,445200.0,2387818.0,0.004769319353697954,0.08539000000000008,0.0
2026-01-12,567223.0,567223.0,0.0,2387818.0,0.045196657422677644,0.13444600000000007,0.0
2026-01-13,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-14,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-15,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-16,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-19,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-20,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-21,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-22,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-23,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-26,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-27,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-28,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-29,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-01-30,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-02-02,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-02-03,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-02-04,567223.0,567223.0,0.0,2387818.0,0.0,0.13444600000000007,0.0
2026-02-05,567223.0,523855.0,43368.0,2431186.0,0.0,0.13444600000000007,0.0
2026-02-06,566911.0,523855.0,43056.0,2431186.0,-0.0005500482173678156,0.1338220000000001,-0.0006239999999999579
2026-02-09,568051.0,111359.0,456692.0,2843682.0,0.0020108976541290957,0.13610199999999995,0.0
2026-02-10,571895.0,111359.0,460536.0,2843682.0,0.006766998033627347,0.14379000000000008,0.0
2026-02-11,569043.0,111359.0,457683.99999999994,2843682.0,-0.004986929418861807,0.13808599999999993,-0.005704000000000153
2026-02-12,571275.0,111359.0,459916.00000000006,2843682.0,0.003922374934758777,0.14254999999999995,-0.0012400000000001299
2026-02-13,566687.0,111359.0,455328.0,2843682.0,-0.008031158373812963,0.1333740000000001,-0.01041599999999998
2026-02-24,574127.0,111359.0,462768.0,2843682.0,0.013128940667423095,0.1482540000000001,0.0
2026-02-25,576483.0,111359.0,465124.0,2843682.0,0.004103621672556734,0.15296599999999994,0.0
2026-02-26,583923.0,111359.0,472564.0,2843682.0,0.012905844578244174,0.16784599999999994,0.0
2026-02-27,584915.0,111359.0,473556.0,2843682.0,0.0016988541297398019,0.16982999999999993,0.0
2026-03-02,574995.0,111359.0,463636.0,2843682.0,-0.01695972919142097,0.14999000000000007,-0.019839999999999858
2026-03-03,561603.0,111359.0,450244.0,2843682.0,-0.023290637309889672,0.12320599999999993,-0.046624
2026-03-04,564331.0,111359.0,452972.0,2843682.0,0.004857523909238326,0.12866200000000005,-0.04116799999999987
2026-03-05,575491.0,111359.0,464132.0,2843682.0,0.019775628133134715,0.15098199999999995,-0.018847999999999976
2026-03-06,569663.0,111359.0,458304.0,2843682.0,-0.010127004592600075,0.13932600000000006,-0.030503999999999865
2026-03-09,548831.0,111359.0,437472.0,2843682.0,-0.036568989033867405,0.09766199999999992,-0.07216800000000001
2026-03-10,563091.0,111359.0,451732.0,2843682.0,0.02598249734435565,0.12618200000000002,-0.04364799999999991
2026-03-11,566191.0,111359.0,454832.0,2843682.0,0.005505326847703218,0.132382,-0.037447999999999926
2026-03-12,566191.0,111359.0,454832.0,2843682.0,0.0,0.132382,-0.037447999999999926
2026-03-13,558131.0,111359.0,446772.0,2843682.0,-0.014235478840179394,0.11626200000000009,-0.05356799999999984
2026-03-16,558627.0,111359.0,447268.0,2843682.0,0.0008886802560688079,0.11725399999999997,-0.052575999999999956
2026-03-17,550443.0,111359.0,439083.99999999994,2843682.0,-0.014650204877315276,0.10088600000000003,-0.0689439999999999
2026-03-18,555527.0,111359.0,444168.0,2843682.0,0.009236197026758486,0.11105399999999999,-0.05877599999999994
2026-03-19,544491.0,111359.0,433132.0,2843682.0,-0.019865821103204673,0.0889819999999999,-0.08084800000000003
2026-03-20,531223.0,111359.0,419864.0,2843682.0,-0.024367712230321525,0.062446,-0.10738399999999992
2026-03-23,504067.0,111359.0,392708.0,2843682.0,-0.05111977455795402,0.008134000000000086,-0.16169599999999984
2026-03-24,514731.0,111359.0,403372.0,2843682.0,0.021155917764900334,0.0294620000000001,-0.14036799999999983
2026-03-25,521178.99999999994,101444.0,419734.99999999994,2853597.0,0.012526931542883535,0.042357999999999896,-0.12747200000000003
